"id","query","product_title","product_description","median_relevance","relevance_variance"
241,"ps3 wireless controller","Rock Candy Wireless Controller, Red (PS3)","Play your video games in style with this Rock Candy Wireless Controller for the PS3. Instead of the traditional black, it has a red translucent design that you can use to express your personality and style. It has the same buttons and features as the controllers that are standard with the game system, including its own wireless adapter for your convenience. Enjoy your PS3 games to their full extent with this Rock Candy controller in red.",3,0.748
243,"power surge protector","Accell Powramid Power Center and Surge Protector","Accell Powramid Power Center and Surge Protector

DESCRIPTION

Powramid Power Center and Surge Protector
Typical surge protectors continue to supply power even after they no longer are providing surge protection, exposing connected devices to potential damage from a power surge. With its Power Stop technology, the Powramid automatically stops conducting power once the absorption has reached capacity. The Powramid provides advanced 1080 Joules of surge protection and features patented X3 MOV technology for maximum safety to all connected devices. The Powramid Surge Protector is available in black or white and features a 4 foot grounded power cord.",4,0.471
245,"toaster oven","Oster 4-Slice Toaster","This Oster 4-Slice Toaster Oven conveniently prepares any meal or snack without having to turn on your big conventional oven. Ideal for quick grab and go foods and heating up leftovers.",4,0
247,"face cream","Retinol Face Moisturizer Organic Lilie De Vallee 4 oz Cream","Retinol Face Moisturizer - Organic - 4 ozOrganic Retinol Moisturizer: A powerful cocktail of antioxidants combined with Vitamin A to diminish fine lines, wrinkles, and premature aging due to sun exposure. Vitamin A boasts a long list of clinically proven restorative and anti-aging properties. This result oriented formulation will fight free radical damage as well as restore and renew firmness, elasticity, and thickness to the skin.
Directions: Apply a small amount to face and neck at night. Apply sunscreen if used during the day.
Paraben Free",2,0.943
248,"hawaiian shirt","Polo Shirt - Mossimo Supply Co.","details
Sizing: Junior
Knit Type: Pique
Material: 95 % Cotton, 5 % Spandex
Neckline Style: Round, Polo collar
Sleeve Style: Short, Set in sleeve, Basic sleeve Banded cuff
Closure Style: Front button down
Garment Length: Below hip
Hem Type: Plain hem
Care and Cleaning: Machine wash, cold, Machine wash, gentle or delicate, Non chlorine bleach when needed, Tumble dry, normal, low heat, Iron, low
Pattern: solid, no pattern applied",2,0
249,"multiple phone charger","Samsung Galaxy S5 Mini 16GB Unlocked GSM Dual-SIM Cell Phone","Super slim at 9.1 mm, the GALAXY S5 mini offers much of the technology of the GALAXY S5 in a conveniently compact design. Enjoy unsurpassed performance with its compact size that makes one-handed use comfortable. With an IP67 certification, the GALAXY S5 mini is resistant to sweat, rain, liquids, sand and dust. So feel free to use your phone in practically any situation.",1,0.471
252,"hollister polo","George - Boys' Long-Sleeve Polo Shirts, 4-Pack Value Bundle","This George Boys' Long-Sleeve Polo Shirts, 4-pack Value Bundle is ideal for your child's back-to-school wardrobe. These polo shirts are made of a fine, soft cotton blend that is treated with Scotchgard protector to prevent stains. The traditional style of these polo shirts feature a flat knit rib collar and matching cuffs. They also include vents at the side seam for breathability and a sweat patch with tagless label to prevent itching or irritation. These George polo shirts come in a variety of colors that can be mixed and matched with other school uniform essentials or paired with jeans for a complete, polished look. George - Boys'",2,0.632
253,"table clock","Howard Miller Windsor Carriage Table Clock","The Howard Miller Windsor Table Clock will add elegance to any setting. This handsome, carriage-style clock with quartz movement and beveled sides features black Roman numerals, glass crystal, and a metal waterfall bezel with polished brass finish. It has been crafted from select hardwoods and veneers with a rich and warm Windsor Cherry finish. About Howard Miller Beginning in the 1920s, Howard Miller clocks have impressed all who see them with superior quality and design. Howard Miller wall, floor, and mantel clocks are crafted to last for generations and to perfectly accent your home. Miller, began manufacturing wall and mantel clocks in Michigan. Evolving to encompass cabinet making and other furniture design - all renowned for quality and style - the Howard Miller company proudly stands behind its reputation as the World's Largest Clock Manufacturer. 7H x 6W x 2.5D inches Windsor Cherry finish with crystal glass cover Quartz movement and battery-operated Beveled sides, top, and base",4,0.866
265,"rain boot","Women's Black and Red Tall Rain Boots","Choose this pair of chic and durable rubber boots to wear on a rainy day, or keep your feet tidy in your garden's muck and soil. These sturdy, easily washable boots will withstand bad weather or help you perform your backyard chores, lined with a soft knit fabric to keep your toes warm on rainy day.",4,0
266,"cat grass","Special Kitty Outdoor Dry Cat Food, 44 lbs","About this item
The Special Kitty Dry Cat Food knows that cats rule, and you want to serve them only the best food. That's why each one of the high-quality varieties not only uses wholesome ingredients that supports their health and also tastes delicious. You can always trust Special Kitty cat food to provide nutritious premium products that your cat will crave. This advanced outdoor formula is made with specific attention to the needs of outdoor pets. Not only does it provide the extra energy needed for an active outdoor animal, this product also supports eye, bone, and tooth health. Your cat may actually reward you with a smile thanks to this wholesome cat food.
Special Kitty Outdoor Dry Cat Food, 44 lbs:",1,0
268,"vanity fair bras","Fruit of the Loom - Comfort Front-Close Sports Bra, Style 96014, 4-pack","Esta fruta del sujetador confort deportivo delanteros cerca Loom, estilo 96014, es perfecto para el uso diario. Es fácil de llevar con su característica de cierre frontal y tiene un frente fruncida para una mejor conformación. Además, se construye con 2 capas de cobertura sin complicaciones. Elige uno de los colores variados. Fruit of the Loom - Comfort Front-Cerrar Sostén deportivo, Estilo 96014 : 
Fácil de llevar cerca delante de algodón sujetador
Frente fruncida para mejorar la conformación
2 capas para una cobertura sin complicaciones
Perfecto para todos los días
Lavar a máquina en frío",3,0.471
269,"wii microphone","Official Logitech Rock Band USB Microphone for Xbox 360 Nintendo Wii PS3 Tested","",4,0.4
271,"high chairs","Cosco Simple Fold High Chair, Zury","Invite fun to meal times with the Cosco Simple Fold High Chair. Easy to stow and take on the go, this high chair is specially designed to be simple to take along for the ride. The full size, three-position adjustable tray grows with your child, giving them extra room as they need it. Cleanup is easy after messy meals thanks to the wipeable seat pad. The high chair folds down quickly for storage out of sight or to pack easily into the car. Whether dining at home or out and about while traveling, the Simple Fold High Chair gives your child a fun place to eat.

Cosco Simple Fold High Chair, Zury:
Easy wipe seat makes all that baby goo simple to clean
Folds flat and stands on its own, making it easy to hide away
Compact fold great for taking on the go
No-nonsense design sets up in just seconds
Full size, 3-position adjustable tray with built-in cup holder
Wipeable seat pad with comfortable leg rest for little feet
3-point harness keeps child up to 50 lbs secure",2,0.8
275,"san francisco 49ers","San Francisco 49ers Official NFL Infant One Size Hooded Infant Towel","Keep your baby warm and dry in this hooded towel.
Made with super soft terry cloth with a US printed logo",4,0.471
276,"stick vacuum","Bissell 53Y8 Lift-Off Floors and More Cordless 2-in-1 Stick Vacuum","Powerful and convenient, the Bissell Lift-Off Floors and More Cordless 2-in-1 stick vacuum is your smart choice for everyday messes. It includes a brush roll on/off switch to safely and effectively clean all floor types and a detachable hand vacuum makes for easy clean up on stairs, upholstery, and more.",4,0
279,"ice cream maker","Koolatron Deluxe Double Treat Ice Cream Maker  FT03","Now you can double deck your cone with this Koolatron Deluxe Double Treat Ice Cream Maker. Mix up a batch of two different flavors at the same time! Place ingredients for chocolate in one side, vanilla in the other, then hit the switch. The ice cream maker starts mixing automatically and stops when your delicious treat has reached the perfect temperature. Includes instruction manual and recipe book for sweet inspiration. Dishwasher safe and easy to clean. Requires 4-AA batteries that must be purchased separately. 6H”x6W”x10L""",4,0
281,"an extremely goofy movie","A Goofy Movie (Full Frame)","DVD, G, 78 minutes, Disney
Now you can enjoy all the outrageous fun and laughter of Disney's most legendary comedian as he stars in his very own full-length motion picture! In the great tradition of quality Disney animation, ""A Goofy Movie"" is a classic blend of irresistible characters, unforgettable music, and an endearing modern-day story about how the lovable Goof bonds with his teenage son, Max, on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure! Will Max learn there's nothing wrong with taking after dear old dad ... if he is a little goofy? The question is answered in the showstopping finale when Max and Goofy ""crash the stage"" at the most spectacular rock concert ever performed! Filled with action-packed scenes, narrow escapes - even a comic close encounter with Bigfoot - Disney's critically acclaimed hit comedy is a delightfully memorable adventure your family will love taking again and again.

""Calling All Goofs"" Cartoon, ""A Goofy Success Story"" Cartoon, ""Goofy Movie"" DVD Storybook, ""Goofy Movie"" Trivia Game, Theatrical Trailer.",3,0.894
289,"gym gloves","Everlast Wristwrap Glove, Black","",2,0.748
290,"double stroller","Contours Options Elite Twin Tandem Double Baby Stroller Sand NEW","<table>
	<tr>
		<td>
			



.style1 {
 text-align: center;
 font-family: ""Berlin Sans FB Demi"";
 font-size: x-large;
 color: #800000;
}
.style2 {
 text-align: center;
 font-family: ""Cooper Black"";
 font-size: large;
}
.style3 {
 text-align: center;
 font-family: ""Berlin Sans FB Demi"";
 font-size: large;
 color: #800000;
}
.style4 {
 text-align: center;
}
.style5 {
 font-family: ""Berlin Sans FB Demi"";
 font-size: large;
}
.style6 {
 font-family: ""Berlin Sans FB Demi"";
 font-size: large;
 text-align: center;
}
.style7 {
 font-family: ""Gill Sans Ultra Bold"";
 color: #800000;
}
.style8 {
 font-family: ""Arial Black"";
 font-size: xx-large;
 text-align: center;
}
.style9 {
 font-family: ""Gill Sans Ultra Bold"";
 font-size: large;
 text-align: center;
 text-decoration: underline;
 color: #800000;
}
.style10 {
 font-family: ""Berlin Sans FB Demi"";
 font-size: large;
 color: #800000;
}
.style11 {
 font-family: ""Gill Sans Ultra Bold"";
 font-size: large;
 color: #800000;
}
.style12 {
 font-family: ""Cooper Black"";
 font-size: large;
 color: #800000;
 text-decoration: underline;
}
.style13 {
 font-family: ""Cooper Black"";
 color: #800000;
 text-decoration: underline;
}
.style14 {
 color: #800000;
}
.style15 {
 font-size: large;
}



<p>New Contours Options Elite Twin Tandem Double Stroller Sand <p>the best of both worlds
<p>We are auth dealers for Contours so your purchase will be covered under full mfg warranty
<p>
<p></p></p></p></p></p></td></tr></table>",4,0
295,"wine rack","Jumbo Bin 120-Bottle Mahogany Wine Rack","Our Jumbo Bin 120-Bottle Wine Rack is now more durable, more beautiful and more eco-friendly than ever before. Hand-cut and hand-sanded for a remarkably even color and grain.",4,0
296,"leather mens briefcase","Leather Briefcase with Removable Laptop Sleeve - Red","Stay stylishly connected with this luxurious Italian leather bag with honeycomb, memory-structure laptop sleeve
Top zip offers easy access to 2 divided sections: one for removable, padded laptop sleeve that protects your computer inside and out of the bag (holds a laptop up to 15.4"")
The second section includes a gusseted zip pocket, disk pocket, cell phone pocket and pen pocket
Outer U-shape, organizer pocket features a double zipper, space for media gadgets and business cards, and pen loops
Lightweight bag weighs only 4 lbs. and has 2 tubular forearm straps, plus a removable leather shoulder strap with nonslip neoprene pads to absorb shock and alleviate body strain",3,0.471
299,"wall clocks","Bulova Gymnasium 18 in. Wall Clock","The underappreciated charm of vintage schoolhouse accessories are finally getting their dues! The Bulova Gymnasium 18 in. Wall Clock is bringing back the classic design with a solid hardwood case in a timeless brown cherry finish. Faux leather inserts are complemented by contrast stitching. A metal cage protects the glass lens (presumably from flying dodge balls). This clock uses Quartz movement and requires one AA battery (not included.)

About Bulova Corporation
The realization of a great American dream began in 1875 when Joseph Bulova, a 23-year-old immigrant from Bohemia, opened a small jewelry store on Malden Lane in New York City. This modest enterprise was to evolve into one of today's preeminent watch and clock companies. In 1911, Bulova began manufacturing boudoir and desk clocks, along with fine pocket watches, which he made and sold in unprecedented numbers. During World War I, wristwatches were issued in the military for their greater convenience. Returning veterans brought home the new fashion - and a new market emerged.

Bulova timepieces use only the finest materials, precision, craftsmanship, and state-of-the-art technology for enduring quality and performance. At the heart of each Bulova watch is precision accuracy. From the finest quartz movements to alternative technologies such as solar or mechanical energy, each Bulova watch is guaranteed to be accurate to within one minute a year. Every Bulova is anti-magnetic, shock-resistant, and features the company's unique distortion-free and scratch-resistant Dura-Crystal.

Only Bulova offers the range of styling and the scope of products to meet everyone's needs. From the sporty Marine Star Collection to diamond watches and heirloom-quality timepieces, Bulova has a watch or clock that will complement your style.",3,0.894
300,"keurig coffee maker","Keurig K45 Coffee Maker with 48 K-Cup Packs & Water Filter Kit","",4,0.471
302,"sports bra","Danskin Now - Core Strength Push Up Foam Sport Bra-High Impact, 2-Pack","The Danskin Now Core Strength Push Up Foam Sport Bra is a bra which you can wear all through the day without having to continuously adjust it or worry about spilling out of it while bending over. The slight push up and underwire of this bra offers excellent support. Also, this push up sport bra has great moisture and sweat absorption and you will not feel all wet and itchy when in the middle of any physical activity. This contour padded sport bra keeps your breasts in place and offers all-day comfort. This is one sports bra which lends nice shape to the breasts and does not squish them. This black sport bracan be worn during any physical activity like running or when working out in the gym. The Danskin Now Core Strength Push Up Foam Sport Bra can also be worn on a daily basis and makes a great bra everyday wear . The mesh material is a great addition to the cup and it provides ultimate support.",4,0
305,"girls halloween costumes","Strawberry Baby Costume","",4,0.943
307,"patio tables","Somette Athens 48-inch Cast Aluminum Outdoor Table with Ice Bucket","ITEM#: 17204485
Outdoor gatherings will never be the same with this Somette Athens outdoor table. The enamored center-table ice bucket will keep your memories and cold drinks on ice and within easy reach. Beyond this set’s adaptability to you and your home’s needs, is its splendor and functioning characteristics. Cast aluminum has an aged-bronze finish accenting the lovely bowed table legs, lattice-style designs and adjustable feet insets that fit you and your guests’ needs.",3,0.471
321,"toy trucks","Nickelodeon Paw Patrol - Rocky's Recycling Truck, Vehicle and Figure","Race to the rescue with the Nickelodeon Paw Patrol Rocky's Recycling Truck. With Paw Patrol no job is too big and no pup is too small. If danger is near just give a yelp, the Paw Patrol is here to help with Rocky's Recycling Truck! This fun toy is taken straight from the beloved Nickelodeon Jr. show, Paw Patrol, featuring one of the show's brave pups, Rocky. The Paw Patrol Rocky truck vehicle and figure features the plucky pup and his green recycling truck. The truck is outfitted with a movable fork lift, back opening compartments and real working wheels. The truck can be pushed in any direction easily. The Rocky figure recycling truck toy is part of a full line of toys from the popular series, delighting young fans with rescue missions full of friendship, teamwork and bravery. Choose from Chase, Marshall, Zuma, Skye, Rocky and Rubble, each with their own unique transformation. Each toy is sold separately. The toys are recommended for ages 3 and up.


Nickelodeon Paw Patrol, Rocky's Recycling Truck, Vehicle and Figure:
From the popular Nick Jr. show Paw Patrol
Learn about adventure, bravery and teamwork
Includes Rocky and truck
Real working wheels",4,0
322,"ray ban sunglasses","Ray Ban Sunglasses New Wayfarer RB2132 (Black Transparent/Green Lens) - 55mm","Simply put, Ray-Ban is iconic eyewear. Since the introduction of the classic Wayfarer style in 1952, the signature shape of Ray-Bans has been immediately recognizable anywhere in the world. From rock-and-roll to Hollywood, Wayfarers have always been a symbol of style, fashion and taste. These RB2132 Wayfarers are Ray-Ban's modern interpretation on the original classic. They are slightly smaller with a softer eye shape. The frames are constructed out of acetate, making them both lightweight and durable. The crystalized lens feature 100-percent UV-400 coating. The quintessential Wayfarer shape is balanced with accented frames and logos at the temples. The RB2132 combines a black frame with a green lens. You can never go wrong with this updated twist on such a classic look.",4,0
323,"portable hard drive","DELL Dell Portable Backup Hard Drive - 1 TB","",3,0.471
334,"sports bra","C9 Champion Women's Power Core Cami Sports Bra","C9 Champion Women’s Medium Support Sports Bra is a must-have for your fitness wardrobe when you want more coverage and medium support. Soft, moisture-wicking fabric keeps you dry and supported while the 4-way stretch and soft cups keep you comfortable. And with a bevy of colors to choose from, you’ll be sure to find the perfect color to match your attire.",4,0.4
336,"portable hard drive","Toshiba Canvio Connect 1TB Portable External Hard Drive Value Bundle with Bonus Case","Plugged into any PC, Toshiba's new nimble, versatile Canvio Connect lets you access, share and back-up your precious files and media virtually anywhere. Affordable, pocket-sized and easy to carry, this amazingly full-featured performer offers a huge amount of storage — up to 2TB — so you can upload, download and back up to and from your desktop or laptop computer, even your mobile devices. 
Toshiba Canvio Connect 1TB Portable External Hard Drive:
1TB
Expanded digital storage
USB 3.0, USB 2.0
Flexible interface with fast transfer speeds
5400 RPM
For fast access and performance
Plug n pla",4,0
338,"tv","Vizio E320Fi-B2 32-inch 1080p 60Hz Full-Array Smart LED HDTV with Built-in Wi-Fi","",3,0.471
339,"baseball photo frame","Heart to Heart Wooden Baseball Picture Frame","",4,0.471
341,"assassinss creed","Assassin's Creed: Rogue (Xbox 360)","Game Features 
• Become the Ultimate Assassin Hunter - Experience the Assassin’s Creed universe from the perspective of a Templar. Play as Shay, who, in addition to the skills of a Master Assassin, also possesses new abilities, like enhanced eagle vision, and weapons, such as the deadly air rifle and grenade launcher. 

• Slowly Descend Into Darkness - Witness Shay’s transformation from an adventurous Assassin to a grim and committed Templar willing to hunt down his former brothers. Experience firsthand the events that will lead Shay down a dark path and set him on a course that will forever change the fate of the Assassin Brotherhood. 

• New and Improved Naval Gameplay - Cast off in your ship, the Morrigan, and fight your way through the icy seas of the North Atlantic and the narrow waters of America’s river valleys. Assassin’s Creed Rogue builds on the award-winning naval experience from Assassin’s Creed® IV Black Flag™ with all-new gameplay, including new weapons and enemy tactics 

• Vast and Diverse Open World to Explore - Shay’s story will allow you to explore three unique environments: the artic North Atlantic, American River Valley, and New York City
North America, 18th century. Amid the chaos and violence of the French and Indian War, Shay Patrick Cormac, a fearless young member of the Assassin Brotherhood, undergoes a dark transformation that will forever shape the future of the colonies. After a dangerous mission goes tragically wrong, Shay turns his back on the Assassins who, in response, attempt to end his life. Cast aside by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him and to ultimately become the most feared Assassin hunter in history.Introducing Assassin’s Creed® Rogue, the darkest chapter in the Assassin’s Creed® franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North Atlantic in pursuit of your ultimate goal, to bring down the Assassins.",4,0
344,"button down shirt","French Toast White Long Sleeve Button Down Boys Uniform Shirt 14","Your little boy will be looking sharp for school in this Long Sleeve Button Down Uniform Shirt by French Toast. The classic button down dress shirt can be paired perfectly with a tie. Great for school! High quality fabric to ensure your boy will wear this shirt many times.",4,0.471
346,"martial art headgear","Everlast Black MMA Headgear","ITEM#: 17157398
Protect yourself from the competition with the Everlast MMA Headgear. Full chin and cheek padding including a molded face bar will protect your face from punches. An Everhide vinyl liner will provide a snug and comfortable fit. 

Includes full cheek and chin padding
Protects your face from punches
Provides a snug and comfortable fit
Set includes: Headgear
Brand: Everlast
Model: 7420LXL
Materials: Synthetic Leather
Color: Black
Dimensions: 5.75 inches long x 9.00 inches wide x 9.00 inches high
Weight: 1.17 pounds",4,0
348,"lc lauren conrad dresses","Firefighter Child Costume Role Play Set","When your little boy puts on this Firefighter Costume, he can be ready to fight any imaginary fire. He will be the big hero and save the day while enjoying creative and positive play. It features the traditional colors of red, black and yellow and displays the words ""Fire Chief"" on the back. It is made out of polyester material. Included is a matching helmet. This child costume is idea for role play, dress-up parties, Halloween, school plays and other festive occasions. Refer to the detailed size chart, which varies by costume, to ensure the best possible fit.


Firefighter Child Costume Role Play Set:

    Child costume includes a shirt and a hat
    Material content: polyester
    Traditional red, black and yellow colors
    Role play costume is ideal for dress-up parties, Halloween, school plays and other occasions
    Care: spot clean
    Size: child boy",1,0
358,"thomas the train","Thomas the Train Storage Chest","This Thomas the Train Collapsible Storage Chest will help make clean-up time fun. It features Thomas prominently and has handles so it is easy to lift and move around. The fabric chest's attached lid conceals all the toys inside. This brightly colored kids' storage chest is an ideal addition to a bedroom or play room.",4,0.4
364,"videogames ps4","Far Cry 4 Limited Edition PS4","Far Cry 4 - Limited Edition (Day 1) PS4. In Far Cry 4 players find themselves in Kyrat a breathtaking perilous and wild region of the Himalayas struggling under the regime of a despotic self-appointed king. Using a vast array of weapons vehicles and animals players will write their own story across an exotic open-world landscape.",4,0
366,"vans backpack","Vans Newsome Backpack (Black) Backpack Bags","",4,0
367,"ninja turtle socks","Highpoint Kids' 5PK No Show (Assorted)","He will feel like a superhero in the Teenage Mutant Ninja Turtles 5PK No Show Socks by Highpoint.",4,0.8
371,"martial art headgear","Ringside DeluxeFaceSaverBoxingHeadgear","Thoroughly protects the head while providing a full range of vision. Adjustable rear closure and lace top. Made entirely of leather with a buckle chin strap.",4,0.471
372,"yoga pants","90 Degree by Reflex Women's Plus Size Shirred Leg Yoga Capri Pants","These stretchy yoga pants from Reflex are perfect for lounging or active wear. Made with a blend of cotton and spandex, these pants finish with a contrast waistband and shirred detail at each leg.",4,0.433
374,"aveeno shampoo","Aveeno Nourish + Moisturize Conditioner Set  - 2 Pack","Bring dry, damaged hair back to life with Nourish + Moisturize conditioner from Aveeno. Formulated with a blend of wheat protein and wheat germ oil, Nourish + Moisturize targets damaged areas, restoring strength, softness and shine to your hair. This set includes two 10.5-ounce bottles of conditioner.",3,1.067
381,"aroma diffuser","HOT 1.5L Ultrasonic Home Aroma Humidifier Air Diffuser Purifier Ionizer Atomizer","",4,0.471
388,"projector","InFocus Carrying Case for Projector","Soft carrying case for value projector series for easier mobility and protection.
Fits InFocus IN110a, IN120a, IN120STa and IN2120a Series projectors
Padded interior keeps projector protected
Strong and light weight",2,0.471
389,"ecco shoes","Ecco Enrico Sneakers Men's Shoes","Sporty fresh style is simple with these classic low-top sneakers from Ecco.
Leather upper; rubber sole
Imported
Ecco men's sneakers
Lace-up closure with metal eyelets
Padded collar",4,0
392,"cuisinart coffee maker","Cuisinart 12 Cup Automatic Coffeemaker Pink","12-cup coffeemaker with an elegant, tech-industrial design
Fully programmable
Variable heater plate controls temperature
Brew pause
9"" W x 14"" H x 7-3/4"" D
Includes coffeemaker, measuring scoop, #4 paper coffee starter kit and 2 filters
Dishwasher safe parts",4,0
393,"fitbit charge","Fitbit Charge","Energize your day with Charge — a high-performance wristband that's with you all the time, delivering real-time fitness stats right on your wrist. The OLED display shows your steps taken, distance traveled, calories burned, stairs climbed and active minutes. Stay connected throughout the day with caller ID. When the day is done, track your sleep and set a silent, vibrating alarm. Morning to night, Charge lets you monitor your trends by wirelessly syncing data to your smartphone and computer. No matter where you are, stay motivated to step up your fitness and beat your goals.",4,0
396,"eye cream","Radical Skincare Eye Revive Cream 15 mL","The unstoppable eye cream that works like four-products-in-one for the most sensitive and age-challenged area. This multitasking gem is enriched with multiple anti-aging ingredients proven to hydrate, reduce puffiness, desrease discoloration and dark circles, and diminish wrinkle depth up to 50% in just 4 weeks.

    This product is part of the Space NK boutique
    Web ID: 728892",4,0
398,"robe","Authentic Hotel and Spa 'I Love You Mom' Monogrammed Terry Cloth Turkish Cotton Bath Robe","Experience the soft luxury of this authentic hotel and spa terry bathrobe monogrammed just for Mom with an 'I Heart Mom' design. Feel pampered and cozy in this below knee length spa style robe that features long sleeves and two patch pockets.",4,0
399,"watch women fossil","Wellograph Watch and Fitness Monitor Smartwatch - Assorted Colors","DISPLAY: 1.26in Low-Power LCD + Integrated Backlight

BATTERY: 210 mAH /Up to 7 Days

STRAP MATERIALS: Genuine leather /NATO Nylon Strap (Optional)

SENSORS: Tri-LED HR Sensor + 9-Axis Accelerometer

CHARGER: Magnetic Dock +; Micro USB Cable

SIZE: 15.2-21.5cm /6-8.5in Wrist

CONNECTIVITY: Bluetooth 4.0 Low Energy

CASE MATERIALS: Sapphire, Stainless Steel & Aluminum

DATA: 4 Months of Records

WATER RESISTANCE: Up to 5ATM / 50m / 165ft",2,0
406,"aqua shoes","Women's Skechers GOrun Ultra 2 Hot Pink/Aqua","The acclaimed Skechers GOrun Ultra gets even better with the Skechers GOrun Ultra 2 shoe. The ultimate in cushioned running, great for long distance runs, recovery runs or for those looking for maximum cushioning, with more Resalyte than ever before. Enhanced Resalyte® cushioning than Skechers GOrun Ride shoes. A unique combination of a soft Resalyte® midsole and more rigid Resagrip outsole provides cushioning and support. Aggressive traction control GOimpulse™ Sensors on outsole allow for superior control on any terrain. 4mm heel drop without insole; 8mm heel drop with added optional insole. 4 way stretch mesh on side panels for added comfort. Promotes a mid-foot strike. Weight: 7.3 oz. in a women's size 7. Side S logo. Lace up front. Soft fabric shoe lining for barefoot wear.",2,0.943
412,"gucci guilty intense women","Rockin' Rider Patches Rocking Horse Ride-On","Patches is a classic rocking horse that features soft plush over a lightweight, sturdy foam core.  He sits on a beautiful wooden base with detailed scroll engraving.  With a press of his ears he sings the exclusive ""I'm a Little Pony"" song, says 2 fun phrases, and makes realistic horse sounds.  Your child will be amazed by Patches' moving mouth and swishing tail.  Other features include a full body bridle and reins, high-back saddle with cotton trim, metal stirrups, wooden handles, and a realistic mane and tail.  Some assembly required.  Saddle height is 18 inches.  Requires 3 AA batteries included.  Patches is recommended for ages 3 to 7 and up to 65 lbs.
Rockin' Rider Patches Rocking Horse Ride-On:
Soft plush over lightweight and sturdy foam core
Beautiful wood base with detailed scroll engraving
Press left ear to hear the exclusive ""I'm a Little Pony"" song
Press right ear to hear 2 fun talking phrases and realistic horse sounds
Moving mouth and swishing tail
Full-body bridle and reins
High-back saddle with cotton trim
Metal stirrups
Wood handles
Realistic mane and tail
Some assembly required
Saddle height 18""
3 AA batteries included
Ages 3 to 7 years and up to 65 lbs.",1,0
414,"girls halloween costumes","Boogie Girl Child Halloween Costume","Spread the Saturday night fever with this Boogie Girl Child Costume. This set includes a zippered stretch poly jumpsuit with sparkly dot accents and matching glovettes. The pictured wig and boa are not included. This girls' Halloween costume is a fun choice for trick-or-treating, school plays, historical reenactments, parties, parades, family occasions and other holiday productions and festivities. This costume is made of polyester; not only will it be comfortable for long wear but it will also be durable through multiple uses. Simply add separate accessories or makeup for a look that is truly complete. The child Halloween costume is easy to care for; simply hand wash in cold water. View the detailed size chart to ensure a proper fit.",4,0
415,"digital camera","Canon EOS 70D - digital camera - body only","Canon EOS 70D - digital camera - body only

Changing the way users capture still images and video with a DSLR camera, Canon EOS 70D is a trailblazing powerhouse featuring a revolutionary autofocus technology that unlocks the potential of live view: dual pixel CMOS AF. This game-changing technology allows the EOS 70D to capture video in live view with smooth and precise autofocus similar to that of a camcorder, complete with the superb image quality that is a hallmark of EOS cameras. Additionally, dual pixel CMOS AF provides fast and accurate autofocus during live view still image capture, enabling you to fully benefit from the freedom of angle allowed by the vari-angle touch screen 3.0-inch clear view LCD monitor II.
Compositional options are now nearly limitless with the two real-world choices of live view and viewfinder shooting. Built-in wireless technology and the EOS Remote app further enhance shooting versatility, as well as enable easy sharing. Brilliant image quality is provided by the EOS 70D's 20.2 Megapixel CMOS (APS-C) sensor, a first for an EOS camera with an APS-C sized sensor.
A powerful DIGIC 5+ image processor supports continuous shooting up to 7.0 frames per second, as well as an extended ISO range of 100 - 12800 (H: 25600) that allows shooting in a wide variety of lighting conditions. Stunning photos can be accomplished using the remarkable 19-point all cross-type AF system with a high precision dual cross f/2.8 center point, and advanced display options available on the Intelligent Viewfinder supply exceptional control. In-camera imaging features like HDR, HDR backlight control, multiple exposure, handheld night scene, and creative filters available in real time help turn even simple images into spectacular photos. Elevating the possibilities of creative expression to extraordinary new heights, the powerful EOS 70D with dual pixel CMOS AF places the ability to capture both amazing stills and video right in your hands.",4,0
418,"small brass bow","Bundle Monster 14pc Multicolor Satin Grosgrain Ribbon Bow Girls Hair Clip Set","",2,0.471
422,"high heels shoes","Montreal Canadiens Resin Logo High Heel Shoe Wine Bottle Holder","Showcase your wine in a unique way on your table top with this high heel shoe bottle holder. Made out of painted resin, this shoe will hold a standard sized bottle of wine with some decoration and personality! Your favorite team's logo is featured on the front and the sole of this wine bottle holder. Makes a perfect game day party accessory! Let your guests know where your team loyalties are with this Montreal Canadiens Resin Logo High Heel Shoe Wine Bottle Holder.",1,1.414
424,"yoga pants","MeMoi Women's Cotton High Waist Pajama Yoga Leggings","These fashion leggings are soft, comfortable and made of the finest yarns. They make your legs feel luxurious.",4,0.471
425,"silver necklace","Truly Radiant CZ Sterling Silver Infinity Heart Necklace with Gift Box","Capture the look of real with this necklace that features AAA grade CZ. This grade of CZ is enhanced with faceted fine jewelry cuts and shows greater clarity, luster and shine. Crafted in sterling silver, this infinity heart necklace comes in an attractive black velvet gift box.",4,0
428,"gold dress","Von Ronen New York Women's Gold Sequined Full-length Dress","",4,0
435,"white dress","Just One YouMade by Carter's Newborn Girls' 2 Piece Dress Set - Purple/White","",3,0
